ResponseId,Gender,Age,Current_Pos,Ethnicity,Ethnicity_5_TEXT,Country,Country_2_TEXT,Guilt_Innocent,Guilt_Innocent_DO,Confidence,Qual_Suspect,Qual_Statement,Believable,Detailed,Anxious,Truthful,Remorse,Careful_worded,Memory,Knowledgeable,Rehearsed,Serious,Blame,Qual_thinkstatement,FL_22_DO,Innocent/Spontaneous_DO,Innocent/Coached_DO,Innocent/Rehearsed1_DO,Innocent/Rehearsed2_DO,Guilty/Spontaneous_DO,Guilty/Coached_DO,Guilty/Rehearsed1_DO,Guilty/Rehearsed2_DO
R_2z7IAYJBkof2V3U,2,24,3,2,,1,,1,1|2,7,There wasn't much hesitation when he was telling the story.,His confidence,8,9,8,8,4,7,6,7,4,9,8,"I think the suspect did take the money. Although he is a thief, I believe he did it because he was in a pinch.",Innocent/Spontaneous,Inno_Spon_13,,,,,,,
R_1mEnuhEGAWUGXlj,1,23,3,1,,1,,1,2|1,10,"Admitting her guilt, and also apologizing and stating her reason why she took the money.",Nothing in particular. As mentioned above. ,8,9,4,7,8,6,9,7,3,6,7,"This suspect is honest in her saying why she needs the money. Her statement seemed clear, truthful, and honest. ",Guilty/Rehearsed2,,,,,,,,Guilty_Reh2_8
R_z6m7FIh8milZn5n,1,72,3,1,,1,,1,1|2,9,she said she took the $100 from the envelope and that she needed the money.,she stated she took it.,9,9,7,9,6,3,8,9,2,7,8,"she's jobless with a daughter and tuition to pay. I feel badly for her, but have no reason not to believe her statement.",Guilty/Rehearsed1,,,,,,,Guilty_Reh1_8,
R_CZUvERksdwbmxzj,1,42,3,1,,1,,2,2|1,6,the story was just too far fetched,too far fetched,1,9,8,1,1,2,9,9,10,2,1,seems bogus,Guilty/Spontaneous,,,,,Guilty_Spon_7,,,
R_2xGcvIu3VqD9RaB,2,65,3,1,,1,,1,2|1,9,"She did not seem particularly upset. Personally, if I were forced to lie and say I stole something I did not take I would be an emotional wreck by this point. Also, she stated that she felt justified in stealing from someone else because she was a ""poor"" college student and she needed the money. ","The detail given in her narrative. Also, I cannot imagine how she could have been coerced to say she took the money and the folder if she did not. She also said no one was around and she indicated she did not believe she would be caught.",8,10,2,6,2,3,8,9,3,5,9,I think she is telling the truth within the scenario.  ,Guilty/Coached,,,,,,Guilty_Coach_2,,
R_3dEQ3QVIvpchk2L,1,23,1,2,,1,,1,2|1,5,"Seems cocky, he admitted it and if he didn't do it then he knows who did it and is guilty for covering it",He admitted it upfront,8,5,6,5,2,2,6,7,1,6,10,"This he did it, but if he didn't do it he knows who did it",Innocent/Coached,,Inno_Coach_4,,,,,,
R_1nQ7g8YK8rok4qN,2,21,3,1,,1,,2,2|1,9,She just didn't seem guilty - her movements and everything.,She kept stumbling over her words.,2,2,10,2,9,5,8,8,10,9,1,I think this suspect did not do it. Her statement seemed rehearsed. ,Innocent/Rehearsed1,,,Inno_Reh1_9,,,,,
R_3itkiKgXrXJlCjK,2,34,3,1,,1,,2,2|1,8,minimal eye contact ,her confession seemed forced,7,3,5,5,5,8,4,8,8,5,5,the suspect seemed to be coached,Innocent/Spontaneous,Inno_Spon_11,,,,,,,
R_ab0PTKLSgoLFQsh,1,28,1,1,,1,,1,2|1,9,"The detailed process of her taking the money, her reaction in general was calm with slight smirks occasionally.",Her starting from the beginning of the process.,8,10,7,8,3,7,9,8,5,1,10,"The suspect is either very poor with English and was coerced into repeating back what the detective wanted her to, or she legitimately took the money and showed little remorse or care about it.",Guilty/Spontaneous,,,,,Guilty_Spon_8,,,
R_0Ieps4r97LJO0vL,1,52,4,1,,1,,1,2|1,9,"She seemed very nervous, but was recalling everything like she was reliving it.","She was very detailed in her motive for taking the money, almost like she was justifying it to herself.",8,10,8,8,6,7,10,10,4,10,10,"I think she was being truthful, she's knows why she did it, and she's sorry she got caught, but not sorry about taking the money.",Innocent/Rehearsed2,,,,Inno_Reh2_9,,,,
R_10uQ9sR8IF0kQ5i,1,24,2,1,,1,,1,2|1,7,The suspect seems nervous and uncertain about what to say next.,The suspect seems to ramble a bit as if making up a story.,4,5,6,3,2,3,3,3,3,4,7,I think the suspect is making up a story and is being dishonest.,Guilty/Rehearsed1,,,,,,,Guilty_Reh1_5,
R_2bV74nq3VaRyC8N,2,32,2,1,,1,,1,1|2,5,they weren't stammering and they weren't figiditing and their eye movement stayed the same.,Nothing so much about the statement other their their body language.,3,10,1,10,2,10,10,10,10,9,5,"I think the suspect is very careful. Also, their statement is very detailed, almost like it's rehearsed. I want to say because of that they're lying, but it's hard to tell because of their body language.",Guilty/Rehearsed2,,,,,,,,Guilty_Reh2_13
R_2yknViQSXiH6IzB,2,25,2,2,,1,,1,1|2,3,"She doesn't look like the type of person to take money, but the way she acted like she didn't care makes me think she actually did take the money","She said she didnt need the money, but she acted so nonchalant about it, i think she believes she is above the law and can do whatever she wants and get away with it",2,5,2,2,1,6,4,,6,2,9,"I think she took the money and I also think she is a kind of person who believes she is above the law and can get away with things. She acted completely unfazed by what had happened. It didnt seem to bother her that she was caught stealing money, she does not seem like a very honest person .",Guilty/Coached,,,,,,Guilty_Coach_12,,
R_1rxoAggfV3znTvO,2,21,2,3,,1,,2,1|2,2,The suspect's body language seemed to show that she was uncomfortable. ,The statement seemed rehearsed and didn't seem like it was the victims own words. ,5,10,7,5,1,10,10,10,10,10,5,I think the statement seemed rehearsed and almost like it was practiced prior to the interview possibly by friend's of the suspect who convinced her to lie. The suspect could also be telling the truth about what happened but her statement did not seem genuine enough for me to believe so.,Guilty/Coached,,,,,,Guilty_Coach_6,,
R_5c0zx08IsUn1Wgx,1,34,3,1,,1,,1,2|1,7,She was nervous and obviously lying,She was lying and incoherent about her location and wherewithal concerning her theft,3,5,9,2,2,3,5,3,8,5,3,She is guilty of theft and is not remorseful,Guilty/Rehearsed1,,,,,,,Guilty_Reh1_9,
R_aVnN9Jsi4awFwOZ,2,36,1,1,,1,,2,1|2,6,"It seems as if something is missing in the story.... looks ""fake""... ",more details about the elvator or the friend than about the actual envelope,6,3,2,3,1,5,4,2,9,6,4,It just did not seem right. The guy did not seem guilty or even convinced about what he was saying. It did not seem like he was talking about a personal experience but more as he was repeating something without being directly involved,Innocent/Rehearsed2,,,,Inno_Reh2_13,,,,
R_eJTgaKsNpAbuEE1,2,27,1,1,,1,,2,2|1,9,because she looks like she is trying to cover up for someone ,is didnt really give much detail,5,4,1,7,3,6,8,6,10,3,8, I think the suspect  was covering up for some one she didnt have much detail about what happen and didnt seem like she cared at all,Innocent/Spontaneous,Inno_Spon_5,,,,,,,
R_OCky7aPsrrhrli9,1,29,3,1,,1,,1,2|1,3,The suspect's overall demeanor and body language seemed to indicate that her statement was truthful and not coerced,"The suspect's statement, and details about the incident made it seem like she was telling the truth about taking it",8,7,6,7,7,4,9,8,3,6,7,"I believe the statement, but my confidence is not high enough to convict her beyond a reasonable doubt without additional evidence.",Innocent/Coached,,Inno_Coach_2,,,,,,
R_2riU9rMFeYpLFFc,1,37,2,1,,1,,1,2|1,10,"The suspect not only admitted they took the money, they also said they were not sorry. ","Aside from the one above, the suspect said they took 2 twenty dollar bills.",10,10,8,8,1,7,9,9,3,8,10,"I think the suspect doesn't feel guilty, due to them admitting they weren't sorry. I think the statement was true, since they seemed sincere. ",Innocent/Rehearsed1,,,Inno_Reh1_6,,,,,
R_21mFNoEBqMptyPN,1,28,2,1,,1,,1,1|2,7,"Her confession, did not appear to be lying.",Her statement was detailed and seemed sincere.,9,9,3,9,6,4,8,8,4,8,9,"I believe that the suspect was sincere and that owing to her need of money, likely did take the money from the lab. As she expressed her financial woes and having to care for a child, she has motive. As the money wasn't well protected and the room was empty, she also had the opportunity. Having motivation and the opportunity, as well as appearing sincere leads me to strongly believe that the suspect is guilty.",Guilty/Rehearsed2,,,,,,,,Guilty_Reh2_8
R_3F4YGlJvcrasFzM,1,24,2,3,,1,,2,2|1,8,He is being profiled. ,He just saw something and was hoping he got lucky. He did not give a lot of details and things were vague. lLiars are usually specific,7,3,3,6,5,4,5,5,5,8,5,He was just in the wrong place at the wrong time,Innocent/Spontaneous,Inno_Spon_13,,,,,,,
R_246N2GbrmaG1k8a,1,27,4,4,,1,,1,1|2,4,"She didn't look nervous about the statement or seem as if she was being pressured into saying she took the money, but her statement made it seem as if she didn't take the money. The way she looked and what she said in her statement seem to point to conflicting results. She did seem a little guilty, as though she was resigned to the fact that there was conclusive evidence against her.","The way she said she took the money, almost as an afterthought after she had said in detail how she arrived at the location and the multiple trains she took makes it seem like she didn't take the money.",4,5,3,4,2,5,6,5,6,2,4,"Ultimately, she seemed a little remorseful, but mostly just angry at herself that she had been caught. Her statement was strange in that it was detailed up until the point that she ""took"" the money. She didn't seem to be aware of how exactly she took the money, but that might also have been due to the fact that she didn't want to talk about herself doing something illegal.",Guilty/Spontaneous,,,,,Guilty_Spon_13,,,
R_29abHHQgsMDLCjK,2,46,3,1,,1,,2,1|2,1,"Honestly I don't know, but the option is not available so I'd go with no because I don't have enough prove. My gut feeling all along is that this person was a good actor and actually didn't do anything so I can't say he did it.",No. It's a gut feeling. It's the way he moved. He felt like an actor.,5,4,4,5,1,4,7,7,8,3,5,I felt that he looks like a nice person who was in a situation where probably many people would have acted like he did. He didn't seem comfortable but honestly there was noises in the back and he didn't seem to be respected at all. As what he was saying was not important. His statement was mater of fact a little like a kid who got caught doing something wrong but who knows anyone else would have done the same.,Guilty/Spontaneous,,,,,Guilty_Spon_3,,,
R_1q39qC7dgYDEPr3,2,29,2,1,,1,,1,1|2,7,Nothing,He said he took the money,10,6,8,6,4,5,9,10,1,5,9,I think he didn't think it would be a big deal if he took the money. He thought that he if didn't then someone else would.,Innocent/Rehearsed1,,,Inno_Reh1_12,,,,,
R_3KrzEaS8sDyVpDa,1,44,2,1,,1,,2,1|2,3,she seemed to only know a few things about the incident.  she didn't seem to have a vivid recollection,it seemed like he wanted her to say something more,4,3,6,5,4,3,5,5,6,7,5,i have a feeling she is just accepting blame,Guilty/Rehearsed1,,,,,,,Guilty_Reh1_1,
R_3ix3i1mK8PYRrZY,1,31,2,1,,1,,1,2|1,9,She confessed to taking the hundred dollar bill from the envelope.  She did not deny taking the money.,Her confession.,7,5,4,7,7,5,6,6,7,7,5,I think she provided limited details about the situation and the statement could have possibly been rehearsed.,Guilty/Rehearsed1,,,,,,,Guilty_Reh1_12,
R_1Dvyd6aPztPW0q3,2,22,2,1,,1,,2,1|2,7,Her eyes seemed very shifty while she was talking and the manner in which she was talking did not seem very natural or the way someone would talk about a situation that just happened.,"The statement seemed too rehearsed, and the fact that she didn't go buy lunch when that was the reason she claimed to have taken the money seemed odd",4,7,2,3,1,7,8,9,10,4,4,I do not think the suspect took the money,Innocent/Coached,,Inno_Coach_15,,,,,,
R_prQzVExGEAD3u8h,1,23,2,3,,1,,1,1|2,8,The story seemed made up to me.,How she said she was gonna take the envelope but money happened to fall out.,3,4,10,2,6,6,6,6,8,8,8,I think they are guilty,Guilty/Coached,,,,,,Guilty_Coach_8,,
R_cUZtBFlsyh9FUZ3,2,23,3,1,,1,,1,1|2,9,she is pick the money from that person,she is apologies her mistake,9,10,7,8,4,8,9,5,4,9,8,she pick the money from another source. but she felt for that situation,Innocent/Rehearsed1,,,Inno_Reh1_5,,,,,
R_2qz0qkbn1oKjAZi,2,24,3,2,,1,,2,1|2,1,She seemed to be crying the entire interview. She looked as though she was reading what to say. She did not seem attached to the story.,She had very specific facts about how and why she took the money.,1,10,7,5,7,10,10,10,10,5,8,I believe that someone did train or prepare the suspect on what to say. She just sounded like she was reading from a script. Nothing about the testimony seemed genuine.,Guilty/Rehearsed2,,,,,,,,Guilty_Reh2_7
R_1d3PtCD0BVw34cd,2,37,4,4,,1,,2,1|2,6,she seemed very calm about the whole thing. She blinked like she was nervous but not overly so. ,The story of seeing the money and taking then not wanting to get in trouble seem like they kind of conflict.,7,7,3,6,4,3,7,7,4,8,9,The suspect seemed somewhat nervous but pretty calm for having got caught stealing $100 dollars. I think if they were naturally that calm it would be pretty easy to lie and say they hadn't taken the money. ,Innocent/Coached,,Inno_Coach_5,,,,,,
R_5zqkaNRU6zJHu13,2,26,3,1,,1,,2,2|1,7,nothing about the suspect in particular led me to believe this. ,"he seemed like he was improvising/making up details when he went along, like he wasn't actually there. ",3,4,8,2,5,3,3,3,7,8,3,It sounded like someone who was coerced into describing something that they weren't actually present for. ,Guilty/Spontaneous,,,,,Guilty_Spon_3,,,
R_3nNrMZMAKqIebRo,1,24,1,1,,1,,1,2|1,7,My opinion is based off of what they said. I didn't use physical appearance in my opinion.,The confession was enough to convince me.,7,4,8,7,4,4,5,7,4,8,7,I think the suspect was guilty of the crime.,Guilty/Rehearsed2,,,,,,,,Guity_Reh2_9
R_bsDOsdLRcWFGRgt,,25,2,1,,1,,1,2|1,10,her statements,she admitted it,9,10,7,9,5,4,9,9,7,9,5,she is guilty. she was going through a tough time and was tempted to take the cash.,Innocent/Spontaneous,Inno_Spon_9,,,,,,,
R_2ARm41xZo1zDR7D,1,29,2,3,,1,,1,1|2,8,"I believe that since there was a camera that caught the crime, then this is pretty substantial evidence against the person who stole the money. ",I did not believe the suspect because they seemed a little knowledgeable about some of the details regarding what had happened.,6,8,8,3,4,7,8,9,10,8,9,"I think that this suspect is not believable because they seem to know too much about what happened, almost like it was rehearsed. What they had said seemed a little fake and like it might have been staged.",Innocent/Spontaneous,Inno_Spon_10,,,,,,,
R_3EaOsqYaUr1jdTc,1,30,,4,,1,,1,2|1,8,"At first the story sounded stilted, but here expression of remorse seemed genuine and les rehearsed.","see above, the second part of here statement sounded unscripted.",8,6,5,8,8,9,8,8,7,8,9,I think she is a privilidged little girl who has been getting away with little things for years.,Guilty/Coached,,,,,,Guilty_Coach_10,,
R_2aPIcDgsMsjaTEx,1,26,3,1,,1,,2,1|2,6,She seemed like she was pretending to say that she took the money. She didn't seem too nervous.,"She wasn't sure where to begin, and didn't really give that many details.",3,3,2,3,3,2,4,3,9,3,4,"It just seemed like a forced statement, not very visceral or real. I mean, she confessed, but she didn't seem to care much about the gravitas of the situation.",Guilty/Spontaneous,,,,,Guilty_Spon_13,,,
R_3j8SuZafr0a6X5a,2,21,2,3,,1,,2,2|1,4,"She wasn't crying, and It looked as if she was faking it. ","She seemed a little scared, so maybe she did stole the money. I'm not so sure though. ",4,7,8,3,3,8,5,5,8,6,4,"The subject looked a little scared, and her statement could have been more detailed. ",Innocent/Rehearsed2,,,,Inno_Reh2_9,,,,
R_3dRq8GVZjjxCQwF,2,30,3,1,,1,,2,2|1,7,I think she was too upfront and not defensive at all. I think her attitude would have been different if she had actually taken the money.,"The statement was too clear and thought out. If she had done it, I think there would have been more ""um"" and ""uh"" while she was figuring it out.",5,7,4,3,7,9,8,8,9,8,5,"I think that she was coached through the statement and was essentially reciting a script. She seemed too calm, too clear, and showed no emotion at all. If it were really an upsetting incident involving getting caught, I would have expected more defensiveness and emotion, and there was none. ",Innocent/Rehearsed2,,,,Inno_Reh2_5,,,,
R_AumzITzhZTGN80V,1,25,3,1,,1,,1,2|1,7,"Nothing out of the ordinary about the suspect led to be form the opinion, but it was rather because of the statement she made and what she did afterwards.",I don't believe very many people would give this kind of statement then later retract it. I believe she is guilty because it doesn't make sense to confess and then deny it later.,8,9,7,8,6,7,9,8,5,8,7,I think the suspect in question should be blamed for what happened because she openly confessed to it. I haven't ever met a person that would confess and later try to say he or she was coerced.,Innocent/Coached,,Inno_Coach_8,,,,,,
R_pirduJlFqcvfqRr,1,29,3,1,,1,,1,1|2,7,She had a nervous itch during her statement. It seemed like she was trying to conceal something.,She stated extreme detail and even talked about how she was debating weather she should take the money or not. If she was innocent she would have just left it behind to begin with. She knew she wasn't supposed to take the money.,7,10,10,6,3,6,10,9,10,8,10,I think that the suspect is guilty and should have to face consequences for her actions. She stole and needs to learn that is the wrong thing to do.,Guilty/Rehearsed1,,,,,,,Guilty_Reh1_7,
R_24oCzy1hIZqDzef,1,35,3,1,,1,,2,2|1,6,She seems genuine.,Just a hunch. She seems like she is telling the truth.,7,8,5,9,7,9,8,8,3,8,10,I think she made a mistake by lying in the first place.,Guilty/Coached,,,,,,Guilty_Coach_8,,
R_rcZMPZvbrYJjoZP,1,25,2,3,,1,,1,1|2,6,The way they just spoke,The admittance of why they took it,8,8,3,7,5,6,8,7,7,6,6,They look like they knew what to say,Guilty/Rehearsed2,,,,,,,,Guilty_Reh2_13
R_1g1rCb1YhohSJr6,1,30,3,4,,1,,1,2|1,7,The suspect's detailed account of what took place seem to indicate that he was indeed involved in the crime that was committed as opposed to be coerced into giving a confession,"The suspect gave a clear account of what was taken ($50 in $10 bills) and why it was taken. If the suspect was coerced into giving a confession despite not actually being involved, the confession likely would have been less detailed and there would have been less justification being provided as to why he took it.",8,7,3,6,3,7,8,8,6,8,6,The suspect seemed to want to provide justification for his actions as opposed to expressing remorse for taking the money.,Innocent/Rehearsed1,,,Inno_Reh1_4,,,,,
R_Uc0tFaHcqWbXwA1,1,33,4,1,,1,,1,1|2,8,my gut,no,6,5,7,6,6,5,6,5,6,6,5,Guilty,Innocent/Coached,,Inno_Coach_15,,,,,,
R_3iL6OfrRNDXFE1g,2,41,2,2,,1,,1,2|1,7,The man seemed nervous.,his voice seemed shaking and nervous.,3,5,8,3,3,4,5,5,8,8,10,The statement was rehearsed and the suspect seemed anxious.,Innocent/Spontaneous,Inno_Spont_1,,,,,,,
R_23VT41TAPbTIV9E,2,53,3,1,,1,,1,1|2,10,She actually admitted to doing the crime.,She had stated that she went into the other room and stole the money.,10,10,1,10,8,10,9,9,1,1,10,i feel she could have been more serious about the crime.,Guilty/Spontaneous,,,,,Guilty_Spon_12,,,
R_1PTYDFsSShEF6m1,1,33,3,2,,1,,2,1|2,8,The suspect displayed no emotion.,The suspect sounded coerced. ,4,9,3,3,6,8,8,8,10,4,3,The suspect sounded like she was reciting lines in a play.,Innocent/Rehearsed2,,,,Inno_Reh2_8,,,,
R_cHBqIAdeiC8EMvf,1,34,1,1,,1,,2,2|1,1,Didn't seem like the type to do something like this.,Seemed made up.,1,7,4,4,3,6,6,5,8,5,4,The suspect seemed out of place.,Guilty/Coached,,,,,,Guilty_Coach_9,,
R_1CDBSEaNVizYrMg,1,23,3,1,,1,,1,1|2,5,expressions,expressions,4,5,5,5,5,5,5,5,5,5,5,i think his opinions is somewhat lying,Innocent/Rehearsed1,,,Inno_Reh1_12,,,,,
R_2pK0MwERWxJvbuD,2,38,2,1,,1,,1,1|2,9,she didnt look forced into giving her testimony,she said she did and gave details into how,10,10,8,10,4,1,10,10,3,5,10,i think it was truthful and uncoerced,Guilty/Spontaneous,,,,,Guilty_Spon_1,,,
R_2QPWvhPlnfaIHV4,2,42,1,1,,1,,1,2|1,9,He seemed very fidgety and constantly moving around.,"He stated that he took $35 ""all that was there"" which is very specific.  He also said he was sorry he got caught and could return the money (which implied that he had the money).",10,10,9,8,2,4,10,10,1,8,10,"I think the suspect got caught and in order to avoid additional trouble, he gave this statement to authorities.  He felt justified in taking the money because no one was with the money when it was taken.  I think he made a dumb choice and is sorry he got caught, not sorry he stole the money in the first place.",Innocent/Rehearsed2,,,,Inno_Reh2_1,,,,
R_C9dKTHLdWMmIT1T,2,34,2,1,,1,,1,1|2,8,her nervousness,she said she did it,7,6,8,7,3,6,6,8,8,6,7,I believe she took the money. Her mannerisms and she was fidgety,Innocent/Coached,,Inno_Coach_5,,,,,,
R_2chiTp4x4hjoCzi,1,31,2,1,,1,,1,1|2,8,she seems somewhat arrogant in her response.,"she kept saying ummm after every few words, leading me to believe she was skirting the issue.",6,8,5,6,1,1,7,9,6,7,8,"I think it is reprehensible to do what she did, but there is some sort of commendability on the fact that she did admit to being a petty thief. I think the statement proves her guilt.",Guilty/Coached,,,,,,Guilty_Coach_12,,
R_2dYjTqIjMFUBHJ5,2,22,3,1,,1,,1,1|2,7,nothing,may be,8,9,6,10,7,9,7,7,8,6,8,i really saw this supect emotionally,Guilty/Rehearsed2,,,,,,,,Guilty_Reh2_10
R_3h9MBP8ZcYxUFNX,2,52,1,1,,1,,1,1|2,9,she admitted it,she admitted it,9,1,1,8,1,6,10,10,7,10,10,I think she took the money.,Innocent/Spontaneous,Inno_Spon_5,,,,,,,
R_2QE90OKz3RBQpR7,2,59,2,1,,1,,1,2|1,9,She acted like it was no big deal and they she was only sorry that she got caught.,She went into detail about how she checked envelope and the knocked on door before she took the money.,10,10,8,9,4,8,10,10,6,3,10,She saw an opportunity to take some money and she took it. She didn't appear to remorseful about it.,Innocent/Rehearsed1,,,Inno_Reh1_2,,,,,
R_3VIrqhCKk4vRl4Z,1,31,2,5,White/Asian biracial,1,,1,2|1,6,The detailed nature of their confession and lack of hesitation or other body language that telltales signs of lying was not present.,The suspect's statement was very detailed and they were very confident in their statements which led me to this opinion.,10,10,3,8,5,8,10,10,8,8,10,"The suspect did not seem especially remorseful and in hindsight, it does occur to me that their statement seemed somewhat too perfect and perhaps rehearsed. In light of this realization, I think it is possible that their statement was contrived.",Guilty/Rehearsed1,,,,,,,Guilty_Reh1_13,
R_21p0fQzLbaVypP1,1,23,1,1,,1,,1,1|2,7,The suspect seemed embarrassed and didn't really seem all that nervous.  ,They realized they did something wrong and seemed remorseful.,8,6,3,8,8,4,7,7,4,3,7,I think she was in the wrong place at the wrong time and now knows that she made a mistake.,Guilty/Spontaneous,,,,,Guilty_Spon_2,,,
R_2V1FdyfuPZ66iBs,1,30,3,3,,1,,1,1|2,7, he admitted that he took the money, he admitted that he took the money,7,9,8,7,7,6,9,8,9,10,8, He just   admitted that he took the money because he needed it and I guess no one was looking so he went for it.,Innocent/Rehearsed2,,,,Inno_Reh2_13,,,,
R_2DN7dhlEHGRAVgS,1,33,1,2,,1,,1,1|2,6,I would probably take it if I was in his position.,He seemed to be fidgeting a bit. ,5,5,6,4,2,5,5,5,4,4,5,"I think the statement could be truthful, but as I said he seemed a little anxious but that could just be from the situation. ",Innocent/Rehearsed1,,,Inno_Reh1_12,,,,,
R_3Oe4a7SBeO3W3JZ,2,21,2,1,,1,,2,2|1,5,If she did it she would be in jail or kicked out of school.,"
again, she wuld be in trouble not recording herself in a bedroom.",1,5,1,3,1,4,3,5,6,3,1,Her statement was not believable at all.,Innocent/Spontaneous,Inno_Spon_15,,,,,,,
R_31AVdA4lRKZrS0A,2,45,2,1,,1,,2,2|1,8,"To many wholes in the story,",She was to vauge and honest,7,6,7,7,6,8,7,8,7,8,6,iN THIS VIDEO IT WAS TO SMOOTH AND SHORT.  MADE NO SINCE TO ME.,Innocent/Coached,,Inno_Coach_5,,,,,,
R_NX5vioKhkjdcgiB,2,55,2,1,,1,,1,2|1,8,She does not look like someone who would steal. I was surprised. ,she admitted it,9,9,7,8,4,8,9,9,8,8,8,I'm not totally convinced that this person is a thief,Innocent/Rehearsed2,,,,Inno_Reh2_10,,,,
R_1jZJEz5RD6wqUgO,1,54,4,1,,1,,1,1|2,8,"She said she needed the money and was sorry, indicating she took it.","She admitted she was sorry, presumably for taking the money.",8,8,8,8,7,7,8,8,7,7,8,I think the suspect took the money and expresses some regret.,Guilty/Coached,,,,,,Guilty_Coach_4,,
R_3HHwHSF8Emo6sSa,1,30,3,1,,1,,1,1|2,7,"Nothing about her led me to believe she would steal, but she did look like a fairly honest person.","Like I said, she looked honest and she said she took the money and that she was sorry about it, hard to believe her after that if she said she didn't do it.",7,6,5,7,7,6,6,6,6,7,5,She looked like a fairly honest and nice girl who was admitting that she stole something and that she was sorry about it. If she had been coerced in any way I didn't notice it.,Guilty/Rehearsed2,,,,,,,,Guilty_Reh2_13
R_YQfPrd5FcpXCpcB,1,34,2,1,,1,,1,1|2,8,Their body language indicated that they were not telling the truth.,They seemed a bit shifty.,6,7,7,3,6,7,6,6,8,3,9,They seemed really shifty and they just acted guilty.,Guilty/Coached,,,,,,Guilty_Coach_2,,
R_6DTPyeCrqpfWOTT,2,45,1,1,,1,,2,1|2,5,He just seemed confused and nervous,He said he was on the phone at the time the money was taken,7,4,7,6,3,4,4,6,5,6,5,"I think he didnt do it, but was nervous about being questioned. Most liars are good at it",Innocent/Spontaneous,Inno_Spon_4,,,,,,,
R_1Ig5h7ULSTcJ2ZP,2,31,2,2,,1,,2,2|1,8,She just looked like she was over the whole thing and wanted it to be over.,She seemed to be making details up on the fly.,4,3,5,4,2,5,1,2,6,5,3,It was like she was reading from a cue cards and the thoughts were not her own. I dont think she did it.,Guilty/Spontaneous,,,,,Guilty_Spon_2,,,
R_296XfkQEtJJHC7U,1,46,1,1,,1,,1,2|1,8,The story she told was credible and didn't change throughout the interview,"It was filled with facts, not just rambling about anything",9,10,1,10,4,9,10,10,8,4,9,They seemed to have thought out exactly what they were going to say beforehand. She seemed unapologetic about what happened. ,Innocent/Rehearsed1,,,Inno_Reh1_10,,,,,
R_28Y7T6FEHgzxkly,2,34,3,4,,1,,2,2|1,6,Her story seems like it's scripted. It's not a natural way of telling a story. She looks frustrated and worn down. ,"The process of finding a key, a note, reading the note, opening the briefcase and stealing the money would take a few minutes. It doesn't seem possible to do all that without another person interrupting",2,9,9,2,2,10,6,6,10,7,3,She looks like she's just telling the cops what they want to hear.,Guilty/Rehearsed2,,,,,,,,Guilty_Reh2_6
R_1FeUSuIPUZy46et,2,30,3,1,,1,,1,2|1,8,She seemed pretty relaxed and didn't look like she was being forced to say she took the money.,She admitted she took the money and said she could use $100.,9,8,1,8,1,6,7,7,4,8,9,"She seemed like a normal person, and her explanation makes sense to explain what happened. She doesn't seem like she regretted taking the money.",Guilty/Coached,,,,,,Guilty_Coach_12,,
R_25YqaHzagEpAGPn,2,26,2,4,,1,,2,2|1,7,He is smiling and not really taking it seriously. ,"The story sounds made up, while he is telling it it seems like he is trying to come up with it.",3,10,7,6,2,8,10,10,9,1,2,I think he seems to happy to be someone who really got caught stealing.,Guilty/Rehearsed1,,,,,,,Guilty_Reh1_3,
R_WAlTd4fmarVCdaN,1,59,3,1,,1,,1,1|2,10,She kind of admitted it with her facial expressions and sheepish looks as she told her side of the story.,She admitted putting it in her pocket when no one was around. Then she was unclear about if she would give it back to anyone.,1,9,9,7,7,5,8,10,2,4,10,I was surprised she admitted putting it in her pocket and that she was trying to tell the truth in a sense.,Innocent/Spontaneous,Inno_Spon_2,,,,,,,
R_2agbAIe0d0hHpAi,1,34,3,1,,1,,2,1|2,7,She had so many details.,She had a lot to say.,6,9,8,5,9,5,10,8,8,7,7,"She spoke a lot, indicating that shes telling the truth.",Guilty/Rehearsed2,,,,,,,,Guilty_Reh2_11
R_31yhMl0zq268E2W,2,65,2,1,,1,,1,2|1,5,"look in her eyes, glancing around, ","didn't really have a story ""set in stone""",8,7,8,6,3,6,7,7,4,8,8,"seemed like she was recounting what happened, not a rehearsed story.  Looked ""upset that she had been caught""",Guilty/Spontaneous,,,,,Guilty_Spon_1,,,
R_WBhqJxMBHnStJjH,1,24,3,1,,1,,1,2|1,10,She admitted it.,She said she took it as leverage?,9,10,10,10,9,9,10,10,4,9,10,I think she's just trying to get out of steal the money. I don't think she'd be sorry had she not been caught.,Guilty/Rehearsed1,,,,,,,Guilty_Reh1_5,
R_2tJOeuf4xrgmAiz,2,39,3,1,,1,,2,1|2,6,That she was up front about what was occurring on that day,She seemed from her demeanor to not be guilty per se,7,8,2,6,3,5,8,7,3,4,3,I think she told the truth,Innocent/Coached,,Inno_Coach_8,,,,,,
R_3ir44qNQoOG9j6R,1,28,2,4,,1,,1,2|1,10,He looked very suspicious and he mentioned that he took the money.,He said that he took the money because he needed cash.,10,5,10,7,3,8,8,8,6,8,9,I thought that his statement was truthful and it seemed sincere.,Innocent/Rehearsed2,,,,Inno_Reh2_4,,,,
